"F:0","F:1","F:2","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","p","p_rgh","vtkOriginalPointIds"
-0.43272,-1.6246,-2.1414,0.14522,0.032461,0.0025,94.898,0.0032866,-0.0039597,6.9787e-05,0,0.032266,0.032266,217
-0.11971,-1.0284,-1.4871,0.1502,0.032599,0.0025,101.45,0.0016884,-0.0011742,-0.00024977,0,0.010926,0.010926,218
-0.02457,-0.81081,-1.3026,0.15524,0.032744,0.0025,106.49,0.00067384,-0.00043618,-0.00034103,0,0.0041038,0.0041038,219
-0.0013199,-0.4443,-0.86379,0.16028,0.032801,0.0025,110.2,0.00025097,-0.00019813,-0.00023449,0,0.0020187,0.0020187,220
0.026687,0.018918,0.059345,0.16533,0.032807,0.0025,112.85,0.00010426,-1.2257e-05,2.3502e-05,0,0.0010395,0.0010395,221
0.021791,-0.0040423,0.0029666,0.17029,0.032749,0.0025,114.59,3.0821e-05,1.0822e-05,2.8167e-05,0,0.001032,0.001032,222
0.017708,-0.0036454,0.00097182,0.17524,0.032483,0.0025,115.95,7.0275e-06,1.459e-05,2.1502e-05,0,0.0012152,0.0012152,223
-0.49216,-1.7564,-2.6891,0.14536,0.037442,0.0025,95.102,0.0016705,-0.0026859,0.00036934,0,0.051306,0.051306,243
-0.31089,-1.0555,-3.1743,0.1455,0.042472,0.0025,95.667,0.0013046,-0.00064722,0.00032666,0,0.058573,0.058573,263
-0.10367,-0.33507,-3.6902,0.14555,0.047494,0.0025,96.437,0.0010891,0.0015003,-1.392e-05,0,0.05347,0.05347,283
0.12882,0.3771,-3.6036,0.14555,0.052506,0.0025,97.322,0.00059419,0.003317,-0.00043234,0,0.033499,0.033499,303
0.50803,1.3068,-2.8514,0.1455,0.057528,0.0025,98.239,-4.2378e-05,0.0043631,-0.00080573,0,0.0051132,0.0051132,323
1.3055,2.8354,-1.8611,0.14536,0.062558,0.0025,99.135,-0.00043273,0.0047568,-0.0010865,0,-0.018582,-0.018582,343
1.7826,3.1915,-0.54782,0.14522,0.067539,0.0025,100.05,-0.0016381,0.0049381,-0.001274,0,-0.031392,-0.031392,369
0.82615,1.9605,-1.4102,0.1502,0.067401,0.0025,106.96,-0.00068067,0.0014213,-0.0011444,0,-0.0272,-0.0272,370
0.47668,1.6336,-1.9552,0.15524,0.067256,0.0025,112.14,-0.00062757,0.00070712,-0.0010218,0,-0.016332,-0.016332,371
0.051134,0.89607,-1.7109,0.16028,0.067199,0.0025,115.91,-0.00053559,0.00035903,-0.00071725,0,-0.0077666,-0.0077666,372
0.085688,-0.058955,0.19387,0.16533,0.067193,0.0025,118.58,-0.00030178,-8.8417e-06,-4.8938e-05,0,-0.0035464,-0.0035464,373
0.08017,0.015208,0.010283,0.17029,0.067251,0.0025,120.33,-0.00017935,-5.9464e-05,-9.8493e-07,0,-0.00042056,-0.00042056,374
0.065129,0.013591,0.0029972,0.17524,0.067517,0.0025,121.7,-3.1927e-05,-5.94e-05,1.9261e-05,0,0.001107,0.001107,375
-0.4119,-1.5461,-2.1537,0.14522,0.032461,0.0075,94.91,0.0017632,-0.0027127,0.0016572,0,0.01164,0.01164,785
-0.1182,-1.0147,-1.5101,0.1502,0.032599,0.0075,101.46,0.00090954,-0.0009259,0.00015291,0,0.00067614,0.00067614,786
-0.024391,-0.80429,-1.3104,0.15524,0.032744,0.0075,106.49,0.00033996,-0.00038535,-0.00036189,0,-0.0024618,-0.0024618,787
-0.001288,-0.44045,-0.86906,0.16028,0.032801,0.0075,110.2,6.3593e-05,-0.00017175,-0.00031415,0,-0.0019492,-0.0019492,788
0.025748,0.019605,0.06124,0.16533,0.032807,0.0075,112.85,-3.3615e-07,-1.1473e-05,4.362e-05,0,6.4038e-05,6.4038e-05,789
0.021592,-0.0039015,0.0033907,0.17029,0.032749,0.0075,114.59,-4.5086e-07,2.0423e-06,8.4664e-05,0,0.0006035,0.0006035,790
0.015342,-0.0034026,0.00043831,0.17524,0.032483,0.0075,115.95,3.757e-07,5.8677e-06,7.1714e-05,0,0.00063869,0.00063869,791
-0.48037,-1.7254,-2.7363,0.14536,0.037442,0.0075,95.116,0.00071553,-0.0017917,0.0020449,0,0.018315,0.018315,811
-0.6676,-1.6092,-5.0367,0.14066,0.042465,0.0075,90.799,0.003112,-0.00041139,0.0031486,0,0.02464,0.02464,830
-0.30705,-1.0424,-3.3036,0.1455,0.042472,0.0075,95.682,0.00039396,-0.00041464,0.0018918,0,0.018313,0.018313,831
-0.11169,-0.36105,-3.7923,0.14555,0.047494,0.0075,96.452,0.00031356,0.00092288,0.00099497,0,0.012528,0.012528,851
0.12639,0.36994,-3.6981,0.14555,0.052506,0.0075,97.333,0.00020242,0.0020113,-0.00039084,0,0.001845,0.001845,871
0.48805,1.2705,-2.9059,0.1455,0.057528,0.0075,98.243,0.00010945,0.0027758,-0.0018331,0,-0.0098976,-0.0098976,891
1.1778,2.5583,-1.8338,0.14536,0.062558,0.0075,99.13,0.00022075,0.0033063,-0.002994,0,-0.018459,-0.018459,911
